Date	Source	Target	CAMEOCode	NumEvents	NumArts	QuadClass	Goldstein	SourceGeoType	SourceGeoLat	SourceGeoLong	TargetGeoType	TargetGeoLat	TargetGeoLong	ActionGeoType	ActionGeoLat	ActionGeoLong
19790101	AFR	FRA	043	1	4	1	2.8			
19790101	AFR	FRA	050	2	9	1	3.5									
19790101	AFR	FRAGOV	043	2	19	1	2.8	1	46	2	1	46	2	1	46	2
19790101	AFR	ZMB	100	2	18	3	-5									
19790101	ARG	ARGGOVMIL	172	1	4	4	-5	4	-14.4432	28.4517	4	-14.4432	28.4517	4	-14.4432	28.4517
19790101	ARG	CHL	172	2	4	4	-5	1	-34	-64	1	-30	-71	1	-34	-64
19790101	ARG	VATGOV	072	1	4	2	8.3	1	-34	-64	1	-34	-64	1	-34	-64
19790101	ATH	MOSGOV	120	1	2	3	-4	1	-34	-64	1	-34	-64	1	-34	-64
19790101	ATH	RUS	120	2	5	3	-4							4	55.7522	37.6156
19790101	BUS	CHNGOV	111	1	7	3	-2	4	52.1256	140.381	4	52.1256	140.381	4	52.1256	140.381
19790101	BUS	USA	040	1	4	1	1	4	31.85	117.683	4	31.85	117.683	4	31.85	117.683
19790101	CAF	COD	046	3	19	1	7	1	7	21	1	15	19	1	7	21
19790101	CAF	TCD	046	2	19	1	7	1	7	21	1	15	19	1	7	21
19790101	CAN	CANBUS	030	1	1	1	4	1	7	21	1	15	19	1	7	21
19790101	CAN	KHM	051	2	17	1	3.4	1	60	-95	1	60	-95	1	60	-95
19790101	CAN	KHMGOV	040	1	4	1	1	1	60	-95	1	60	-95	1	60	-95
19790101	CHL	CHLGOVLAB	036	1	1	1	4	1	60	-95	1	60	-95	1	60	-95
19790101	CHL	CHLGOVLAB	040	1	1	1	1	1	-30	-71	1	-30	-71	1	-30	-71
19790101	CHL	CHLMIL	010	1	2	1	0	1	-30	-71	1	-30	-71	1	-30	-71
19790101	CHL	GOV	112	1	4	3	-2	1	-30	-71	1	-30	-71	1	-30	-71
19790101	CHL	GOVLAB	036	1	1	1	4	1	-30	-71	1	-30	-71	1	-30	-71
19790101	CHL	GOVLAB	040	1	1	1	1	1	-30	-71	1	-30	-71	1	-30	-71
19790101	CHLGOVLAB	CHL	036	1	1	1	4	1	-30	-71	1	-30	-71	1	-30	-71
19790101	CHLGOVLAB	CHL	040	1	1	1	1	1	-30	-71	1	-30	-71	1	-30	-71
19790101	CHLGOVMIL	GOV	036	1	9	1	4	1	-30	-71	1	-30	-71	1	-30	-71
19790101	CHL	HUN	040	2	5	1	1	1	42.8333	12.8333	4	47.5	19.0833	4	47.5	19.0833
19790101	CHL	ITA	046	2	10	1	7	1	-30	-71	4	47.5	19.0833	4	47.5	19.0833
19790101	CHN	CHNGOV	051	1	5	1	3.4	1	-30	-71	1	42.8333	12.8333	4	47.5	19.0833
19790101	CHN	CHNGOV	0841	1	6	2	7	4	39.9289	116.388	4	39.9289	116.388	4	39.9289	116.388
19790101	CHN	CRM	112	2	10	3	-2	4	21.0833	106.5	4	21.0833	106.5	4	21.0833	106.5
19790101	CHNCVL	GOV	020	1	2	1	3	4	26.5768	117.742	4	26.5768	117.742	4	26.5768	117.742
19790101	CHN	GOV	050	2	2	1	3.5	2	34.9513	-92.3809	2	34.9513	-92.3809	2	34.9513	-92.3809
19790101	CHN	GOV	054	1	3	1	6	4	39.9289	116.388	2	34.9513	-92.3809	4	39.9289	116.388
19790101	CHNGOV	CHN	020	1	2	1	3	4	24	121	4	24	121	4	24	121
19790101	CHNGOV	CHN	050	1	1	1	3.5	4	24	121	4	24	121	4	24	121
19790101	CHNGOV	CHN	051	1	1	1	3.4	4	39.9289	116.388	4	39.9289	116.388	4	39.9289	116.388
19790101	CHNGOV	VNM	180	1	2	4	-9	4	39.9289	116.388	4	39.9289	116.388	4	39.9289	116.388
19790101	CHN	MIL	193	1	10	4	-10	4	26.5768	117.742	4	21.0833	106.5	4	21.0833	106.5
19790101	CHN	TWN	020	2	15	1	3	4	25.9383	119.651	4	25.9383	119.651	4	25.9383	119.651
19790101	CHN	USA	017	1	2	1	0	4	39.9289	116.388	4	24	119	4	39.9289	116.388
19790101	CHN	USA	036	5	16	1	4	4	39.9289	116.388	2	33.7712	-111.388	4	39.9289	116.388
19790101	CHN	USA	042	3	9	1	1.9	4	39.9289	116.388	4	39.9289	116.388	4	39.9289	116.388
19790101	CHN	USA	051	2	2	1	3.4	4	39.9289	116.388	3	38.8951	-77.0364	3	38.8951	-77.0364
19790101	CHN	VNM	046	1	1	1	7	4	39.9289	116.388	3	38.8951	-77.0364	4	39.9289	116.388
19790101	CHN	VNM	180	1	2	4	-9	4	26.5768	117.742	4	26.5768	117.742	4	26.5768	117.742
19790101	CHN	VNM	192	2	2	4	-9.5	4	26.5768	117.742	4	21.0833	106.5	4	26.5768	117.742
19790101	CHRCTH	CVL	042	1	9	1	1.9	4	26.5768	117.742	4	26.5768	117.742	4	26.5768	117.742
19790101	CHRCTH	GOV	042	1	9	1	1.9	1	41.9	12.45	1	41.9	12.45	1	41.9	12.45
19790101	COD	CAF	046	3	19	1	7	1	15	19	1	7	21	1	7	21
19790101	COPGOV	GOV	040	1	5	1	1	1	15	19	1	7	21	1	7	21
